Total Discharges,DRG Definition,Average Total Payments
101,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,71889.47
101,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,81165.04000000001
101,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,94691.38
101,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,14083.850000000002
101,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,61922.34
101,194 - SIMPLE PNEUMONIA & PLEURISY W CC,69345.9
101,202 - BRONCHITIS & ASTHMA W CC/MCC,10511.64
101,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,30004.27
101,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,13169.72
101,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,21505.15
101,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,72450.39
101,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,30509.18
101,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,12121.77
101,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",78717.32
101,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",12018.23
101,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",48202.94
101,291 - HEART FAILURE & SHOCK W MCC,70221.5
101,292 - HEART FAILURE & SHOCK W CC,89705.35
101,293 - HEART FAILURE & SHOCK W/O CC/MCC,13243.86
101,305 - HYPERTENSION W/O MCC,11983.4
101,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,19134.449999999997
101,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,33274.05
101,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,12353.71
101,312 - SYNCOPE & COLLAPSE,60604.18
101,313 - CHEST PAIN,30477.2
101,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,12314.61
101,378 - G.I. HEMORRHAGE W CC,48073.25
101,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",50917.520000000004
101,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,7291.49
101,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,45622.46
101,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,92122.38
101,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,30561.77
101,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,6912.41
101,552 - MEDICAL BACK PROBLEMS W/O MCC,6329.97
101,603 - CELLULITIS W/O MCC,30912.74
101,638 - DIABETES W CC,5356.5
101,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",10514.16
101,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",37302.86
101,682 - RENAL FAILURE W MCC,65816.63
101,683 - RENAL FAILURE W CC,48239.13
101,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,30859.73
101,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,50225.71
101,812 - RED BLOOD CELL DISORDERS W/O MCC,32283.39
101,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,37563.33
101,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,146814.72999999998
101,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,22134.63
102,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,12590.08
102,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,44355.009999999995
102,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,49952.979999999996
102,069 - TRANSIENT ISCHEMIA,4950.02
102,101 - SEIZURES W/O MCC,4914.45
102,149 - DYSEQUILIBRIUM,7894.07
102,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,41258.29
102,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,27672.78
102,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,37395.020000000004
102,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,68966.53
102,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,26708.260000000002
102,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,4126.04
102,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,62841.76
102,194 - SIMPLE PNEUMONIA & PLEURISY W CC,94667.48
102,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,4502.04
102,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,96727.51000000001
102,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,23321.75
102,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,27354.46
102,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,9385.12
102,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,30107.42
102,253 - OTHER VASCULAR PROCEDURES W CC,19861.09
102,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,17244.02
102,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",25335.15
102,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",6486.44
102,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",41048.81
102,291 - HEART FAILURE & SHOCK W MCC,124203.21
102,292 - HEART FAILURE & SHOCK W CC,52544.880000000005
102,293 - HEART FAILURE & SHOCK W/O CC/MCC,9750.009999999998
102,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,23332.8
102,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,32488.920000000002
102,312 - SYNCOPE & COLLAPSE,20284.74
102,313 - CHEST PAIN,31940.91
102,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,17865.58
102,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,18773.96
102,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,14035.02
102,378 - G.I. HEMORRHAGE W CC,58056.42
102,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",48456.05
102,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,9783.85
102,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,45883.19
102,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,197071.96
102,473 - CERVICAL SPINAL FUSION W/O CC/MCC,15646.82
102,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,12531.09
102,552 - MEDICAL BACK PROBLEMS W/O MCC,22009.120000000003
102,603 - CELLULITIS W/O MCC,18305.47
102,638 - DIABETES W CC,9135.0
102,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",19335.489999999998
102,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",39143.14
102,682 - RENAL FAILURE W MCC,66110.63
102,683 - RENAL FAILURE W CC,75519.14
102,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,27023.06
102,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,60939.04
102,812 - RED BLOOD CELL DISORDERS W/O MCC,35370.89
102,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,175325.11
102,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,58739.439999999995
102,885 - PSYCHOSES,5967.65
103,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,6745.63
103,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,19700.6
103,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,12964.61
103,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,22294.83
103,069 - TRANSIENT ISCHEMIA,20212.77
103,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,41732.36
103,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,29248.059999999998
103,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,91705.33
103,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,56085.45
103,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,48247.54
103,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,71715.63
103,194 - SIMPLE PNEUMONIA & PLEURISY W CC,62768.11
103,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,4832.25
103,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,43976.31
103,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,23846.53
103,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",24413.35
103,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",11003.36
103,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",5790.82
103,291 - HEART FAILURE & SHOCK W MCC,107154.72
103,292 - HEART FAILURE & SHOCK W CC,92671.68
103,293 - HEART FAILURE & SHOCK W/O CC/MCC,22726.43
103,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,26296.62
103,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,24218.559999999998
103,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,8675.64
103,312 - SYNCOPE & COLLAPSE,55407.2
103,313 - CHEST PAIN,17554.72
103,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,19413.04
103,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,18474.44
103,378 - G.I. HEMORRHAGE W CC,44006.11
103,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",14095.87
103,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",57947.45
103,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,10742.2
103,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26285.23
103,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,117701.63
103,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,28970.68
103,552 - MEDICAL BACK PROBLEMS W/O MCC,6169.33
103,603 - CELLULITIS W/O MCC,21961.84
103,638 - DIABETES W CC,5230.53
103,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",6904.83
103,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",68501.69
103,682 - RENAL FAILURE W MCC,47295.15
103,683 - RENAL FAILURE W CC,95781.98
103,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,7821.99
103,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,29037.26
103,812 - RED BLOOD CELL DISORDERS W/O MCC,23655.739999999998
103,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,135898.53
103,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,30746.48
103,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,5554.08
103,948 - SIGNS & SYMPTOMS W/O MCC,14778.7
104,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,14352.96
104,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,45811.12
104,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,12713.3
104,069 - TRANSIENT ISCHEMIA,21928.5
104,101 - SEIZURES W/O MCC,5565.48
104,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,16506.29
104,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,33537.22
104,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,20634.61
104,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,56224.92
104,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,38609.26
104,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,114380.33
104,194 - SIMPLE PNEUMONIA & PLEURISY W CC,66624.11
104,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,9513.18
104,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,30794.17
104,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,60998.42999999999
104,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,16942.37
104,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,26598.699999999997
104,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,25547.620000000003
104,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,12028.65
104,252 - OTHER VASCULAR PROCEDURES W MCC,70121.47
104,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,14768.94
104,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",21819.16
104,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",11979.63
104,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",18032.61
104,291 - HEART FAILURE & SHOCK W MCC,120729.76
104,292 - HEART FAILURE & SHOCK W CC,150086.58
104,293 - HEART FAILURE & SHOCK W/O CC/MCC,4274.48
104,301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,4294.17
104,303 - ATHEROSCLEROSIS W/O MCC,7621.610000000001
104,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,7142.41
104,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,22249.1
104,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,39179.56
104,312 - SYNCOPE & COLLAPSE,30574.3
104,313 - CHEST PAIN,20994.149999999998
104,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,60038.25
104,377 - G.I. HEMORRHAGE W MCC,10736.22
104,378 - G.I. HEMORRHAGE W CC,48965.380000000005
104,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",8511.59
104,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",45336.62
104,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,67086.95
104,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,85969.08
104,473 - CERVICAL SPINAL FUSION W/O CC/MCC,27006.39
104,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,46248.5
104,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,18488.98
104,552 - MEDICAL BACK PROBLEMS W/O MCC,10575.09
104,603 - CELLULITIS W/O MCC,18741.57
104,638 - DIABETES W CC,6525.79
104,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",13616.92
104,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",36812.15
104,682 - RENAL FAILURE W MCC,35039.92
104,683 - RENAL FAILURE W CC,72766.36
104,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,15838.29
104,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,91989.5
104,812 - RED BLOOD CELL DISORDERS W/O MCC,9214.349999999999
104,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,107791.83
104,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,23232.75
104,885 - PSYCHOSES,26278.300000000003
104,948 - SIGNS & SYMPTOMS W/O MCC,4755.6
105,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,12149.81
105,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,14102.76
105,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,44003.0
105,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,5492.06
105,069 - TRANSIENT ISCHEMIA,33734.72
105,149 - DYSEQUILIBRIUM,6455.11
105,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,32387.260000000002
105,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,10046.02
105,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,41767.35
105,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,46707.17
105,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,32026.9
105,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,23509.71
105,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,52871.46
105,194 - SIMPLE PNEUMONIA & PLEURISY W CC,20344.010000000002
105,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,4059.79
105,202 - BRONCHITIS & ASTHMA W CC/MCC,6336.19
105,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,19793.58
105,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,54712.369999999995
105,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,78713.37
105,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,10472.32
105,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",37499.21
105,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",65789.9
105,291 - HEART FAILURE & SHOCK W MCC,87456.83
105,292 - HEART FAILURE & SHOCK W CC,44130.95
105,303 - ATHEROSCLEROSIS W/O MCC,4321.78
105,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,9581.689999999999
105,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,23904.9
105,312 - SYNCOPE & COLLAPSE,30091.71
105,313 - CHEST PAIN,32545.54
105,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,44541.42
105,377 - G.I. HEMORRHAGE W MCC,17208.54
105,378 - G.I. HEMORRHAGE W CC,53657.44
105,389 - G.I. OBSTRUCTION W CC,7415.15
105,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",90435.4
105,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,7755.6
105,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,43846.07
105,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,125101.0
105,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,42153.65
105,552 - MEDICAL BACK PROBLEMS W/O MCC,18151.010000000002
105,603 - CELLULITIS W/O MCC,29277.66
105,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",9832.71
105,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",41944.18
105,682 - RENAL FAILURE W MCC,56393.02
105,683 - RENAL FAILURE W CC,72340.92
105,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,22494.15
105,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,61194.11
105,812 - RED BLOOD CELL DISORDERS W/O MCC,38528.97
105,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,247181.05
105,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,41104.659999999996
105,885 - PSYCHOSES,12134.57
105,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,4481.8
105,948 - SIGNS & SYMPTOMS W/O MCC,8431.49
106,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,5742.98
106,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,34754.84
106,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,34026.07
106,069 - TRANSIENT ISCHEMIA,13786.04
106,101 - SEIZURES W/O MCC,12060.630000000001
106,149 - DYSEQUILIBRIUM,4536.66
106,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,14544.4
106,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,25281.510000000002
106,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,42720.32
106,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,65393.28999999999
106,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,20130.65
106,194 - SIMPLE PNEUMONIA & PLEURISY W CC,59337.14
